	id	name	is_closed	latitude	longitude	address	rating	categories
5987	rMCRX4dUo2BmOIwcf_Q0SA	Thai Room	False	43.685379	-79.3130798	2063 Danforth Avenue	3.5	Malaysian
5988	W_62_ATCIB_qzvVy1hFzZA	Our Spot	False	43.6841401	-79.3190019	1779b Danforth Ave	4.5	Cafes
5989	Lpbo9wYj4pu58vJ7tlh-4w	Hirut	False	43.68566	-79.31388	2050 Danforth Ave	4.5	Ethiopian
5990	0-yj2jtzLUHG2b7PpEHyog	Rendez-Vous	False	43.68271	-79.32758	1408 Danforth Avenue	4.0	Ethiopian
5991	CIsHnoLZHT24xwyT7FO09g	Yanagi Sushi	False	43.68336	-79.32491	1524 Danforth Avenue	4.0	Japanese
5992	U2QIzQ8CQMfLUgW0Cr6JBw	Tipsy Moose	False	43.6848865850343	-79.3172704428434	1864 Danforth Avenue	4.5	Pubs
5993	S1NqAofPuIDGdJYnhEsUbA	Firkin On Danforth	False	43.685332	-79.313329	2057B Danforth Avenue E	3.0	Pubs
5994	wDRdIF_5IL6iCao-G8hVHQ	The Groove Bar & Grill	False	43.6852919679494	-79.3155437707901	1952 Danforth Avenue	4.0	Pubs
5995	NLaK58WvlNQdUunSIkt-jA	Zav Coffee Shop & Gallery	False	43.68564	-79.31395	2048 Danforth Avenue	4.5	Coffee & Tea
5996	8mW3kpRSFvRqFErkNFOicQ	Pomarosa Coffee Shop & Kitchen	False	43.683242	-79.32545	1504 Danforth Avenue	4.5	Venezuelan
5997	2Xh-ZYlvm1SxcKdEaD51DA	Budapest Restaurant	False	43.686310484234454	-79.30998100204901	2183 Danforth Ave	4.5	Hungarian
5998	GPK5oG-H6JUPo2a5hBxRBQ	Bodega Henriette	False	43.6780199	-79.31471	1801 Gerrard Street E	4.0	Bars
5999	3ot6ucvk6eG6Zgtzc2-gwg	Sandy's Restaurant	False	43.68554	-79.31223	2093 Danforth Avenue	4.0	Chinese
6000	9BZoqNuXs-_j0ozsv27DNg	Sauce on the Danforth	False	43.682538	-79.328224	1376 Danforth Avenue	4.0	Champagne Bars
6001	Zkn1y0l3eDjzIONKMNl-ew	Storm Crow Manor	False	43.6667489584503	-79.3816431239247	580 Church Street	4.0	Bars
6002	tCjlXROlbcaGiBRfU2jaiw	The Keg Steakhouse + Bar	False	43.6668345	-79.3779253	515 Jarvis Street	4.0	Steakhouses
6003	NoT7u2QNEvsVbH9MIzAzlw	Si Lom Thai Bistro	False	43.66503	-79.38082	534 Church Street	4.0	Thai
6004	nrq5H3LZicjMG0wv7gy08g	Kintaro Izakaya	False	43.66417	-79.38006	459 Church Street	4.0	Japanese
6005	RXyM7VrCiEFthJxQ4bGmBg	Sambucas On Church	False	43.66511	-79.38042	489 Church Street	3.5	Italian
6006	HoNf-r8TzlSG05gbgpNiug	Torch Pressed Sushi	False	43.6659093206019	-79.3808230385184	507 Church St	4.5	Japanese
6007	iAxsnFs3qq0Qx1EJ1S9SoQ	Koyoi Restaurant & Bar	False	43.6666786252858	-79.3854676187038	2 Irwin Avenue	4.0	Japanese
6008	9tfw-OEfpF0qC2hSzRks6g	Hair of the Dog	False	43.662946823805	-79.379592870241	425 Church Street	4.0	Pubs
6009	r49iBfbnfoK7yt4rdsL_7g	Fushimi	False	43.66526	-79.38032	491 Church Street	3.5	Japanese
6010	_3KtNIp3CbCXSfEQUaf50w	Mabu Generation	False	43.6650956222266	-79.3848299235106	575 Yonge Street	4.0	Taiwanese
6011	RtUvSWO_UZ8V3Wpj0n077w	KINKA IZAKAYA ORIGINAL	False	43.66042406856627	-79.37890046282942	398 Church Street	4.0	Japanese
6012	bKUXKjUIY34BTowDBwFjbQ	The Churchmouse: A Firkin Pub	False	43.6646112519968	-79.3801465109641	475 Church Street	3.5	Pubs
6013	mqSVluoj2_S1iOWtLdy9tw	Bloom	False	43.66549	-79.38501	596 Yonge street	4.5	Cafes
6014	RvYjKtzdIPA2VBUpJJbzCw	Tokyo Kitchen	False	43.6690940080509	-79.3851124367706	20 Charles Street E	4.0	Japanese
6015	iB1iGtTgr3fucKrT9yxinw	Mr.Tonkatsu	False	43.66434	-79.38454	548 Yonge Street	4.0	Japanese
6016	VxrvGKfba7rBDNLjc-Wy3A	Ethiopian House Restaurant	False	43.66673	-79.3856	4 Irwin Avenue	3.5	Ethiopian
6017	LxDnBFr7WGZu9AaKfXMIMw	Chung Chun Rice Hotdog	False	43.6651856025297	-79.3848282471299	582 Yonge Street	4.5	Hot Dogs
6018	Qqm3yVcqTbC1IOKu0TG2nQ	Dal Moro's Fresh Pasta To Go	False	43.66684	-79.38503	605 Yonge Street	3.5	Italian
6019	cfGNZTCw1pCR_fma6wgfwg	Ginger	False	43.6653417586184	-79.3809837338158	546 Church Street	3.5	Vietnamese
6020	3ohJ9WQLb5Cbb_j1zdJ-xg	Fabarnak Community Cafe and Catering	False	43.66655	-79.3809	519 Church Street	4.0	Cafes
6021	xDmVyd_xl0Hsf3hFmYwrHg	Beach Hill Smokehouse	False	43.68409	-79.3005	172 Main Street S	4.5	Barbeque
6022	mUGDDv2j1qIzbh1JsAoBGQ	Double Sushi	False	43.6893	-79.29557	2795 Danforth Avenue	3.5	Japanese
6023	3tqwUw4XWf-RFEtVROZ2ZQ	Len Duckworth Fish & Chips	False	43.68883	-79.29998	2638 Danforth Avenue	4.0	Seafood
6024	j7Rgozl24WrmDeqFCCKwQg	Grillies	False	43.68881	-79.30015	2632 Danforth avenue	4.0	Mexican
6025	mGIwa68SGYk7GSnPQGGb_g	Prologue Cafe	False	43.6844351326528	-79.2974385246634	2249 Gerrard Street East	4.5	Cafes
6026	0nqQIM2PvOcTX6v0L537_Q	Fearless Meat	False	43.68043	-79.29028	884 Kingston Road	4.5	Burgers
6027	LTEVTg3qCGnlGaExZMAejw	No Bull Burgers	False	43.68057	-79.28503	1019 Kingston Road	4.0	Burgers
6028	aD4qhONCE5catMdQC4sqwg	Reginos Pizza	False	43.6868362415094	-79.2938377816662	3331 Danforth Avenue	3.0	Pizza
6029	t_XpjR3_Cf7r9tj3w3vAbw	The Beech Tree	False	43.6803871	-79.2888628	924 Kingston Road	4.0	Wine Bars
6030	lFva3eDk1GRvJAWKknQKig	Bistro Camino	False	43.68934	-79.29744	2750 Danforth Avenue	4.5	French
6031	biqnUUHYHsNBCI5BpMM8Xw	The Feathers Pub	False	43.68068	-79.2875	962 Kingston Road	3.5	British
6032	-jPgzLZNArRVIcSpx-iV_g	The Porch Light	False	43.6807050652599	-79.2865457385778	982 Kingston Road	4.0	Coffee & Tea
6033	sVek_XoLnbe0YeytnizXRg	Two Brothers Shawarma	False	43.68939	-79.29532	2825 Danforth Avenue	4.0	Mediterranean
6034	3Mt2E4iPn64HgLYQGNGF5w	Church's Texas Chicken	False	43.6908342358818	-79.2888385741988	3003 Danforth Avenue	4.5	Chicken Shop
6035	Xu1_lZl30we4PQlJ58zQ9w	The Green Dragon	False	43.68097	-79.28474	1032 Kingston Road	4.0	Chicken Wings
6036	XHt5luPZl7jYZrF56Rnp0Q	Halibut House Fish and Chips	False	43.6896793	-79.2906429	3003 Danforth Avenue	3.5	Fish & Chips
6037	yx09NEtQQ5RGuS1hadd5qA	Ritz Caribbean Foods	False	43.6907493384806	-79.2890505865216	3003 Danforth Avenue	3.5	Caribbean
6038	RKj8NwzpWl91kuQAyRW7bA	Hakka Chopsticks	False	43.69034	-79.2930499	2940 Danforth Avenue	4.0	Indian
6039	UkbIKrtTDHW8DFNJYJ5yEQ	The Real Jerk	False	43.6808815	-79.2856064	1004 Kingston Road	3.5	Caribbean
6040	YBk7SLJ7WUfalpJ82yXJ4Q	Su-Good	False	43.68878	-79.3002999	2626 Danforth Ave	4.0	Comfort Food
6041	AVwE6GQmlCTAjaDbli4IKg	Iruka Sushi	False	43.6369364641686	-79.396640733727	550 Queens Quay W	3.5	Japanese
6042	A7waf6G3cvnLfAqKeLL8DA	Buca	False	43.64462	-79.40045	604 King Street W	4.0	Italian
6043	jedpMIkZkpVPTKxVwOqvtg	Sansotei Ramen	False	43.63905	-79.3982599	115 Fort York Boulevard	4.0	Ramen
6044	KpEu3vvj1ruoID0T3lmD4Q	Mira	False	43.64417	-79.39639	420A Wellington Street W	4.5	Peruvian
6045	_cjPEH9wXhKS-HQe_U3M4Q	Le Sélect Bistro	False	43.643905577145816	-79.39685231028895	432 Wellington Street W	4.0	French
6046	4BBda3yy_8GXGmYLcgggHw	Pizzeria Libretto	False	43.64432	-79.39874	545 King Street W	4.0	Pizza
6047	h_4dPV9M9aYaBliH1Eoeeg	Wvrst	False	43.64418555054	-79.401014855291	609 King Street W	4.0	German
